RRT,zigzag
path?,time,iters,segments
True,1.447700023651123,323,3
True,0.5610129833221436,123,3
True,0.18614602088928223,33,4
True,0.26599717140197754,58,4
True,0.045929908752441406,8,3
True,0.10382795333862305,18,2
True,0.28952789306640625,66,3
True,0.30872583389282227,62,4
True,0.46240711212158203,100,4
True,0.1408829689025879,34,4
True,1.5143461227416992,363,6
True,0.21309280395507812,44,3
True,0.8036952018737793,185,5
True,2.3178038597106934,580,7
True,0.45368099212646484,91,3
True,0.1397099494934082,25,4
True,0.8430130481719971,177,3
True,0.05918097496032715,10,3
True,0.6593921184539795,157,6
True,0.30225467681884766,59,3
True,0.8143258094787598,178,4
True,0.31922101974487305,65,4
True,0.04785585403442383,8,3
True,0.351473331451416,74,4
True,0.10004377365112305,18,3
True,0.8926100730895996,208,4
True,1.6452667713165283,395,7
True,0.6428720951080322,147,4
True,0.333209753036499,68,4
True,0.5152218341827393,109,3
True,0.1154179573059082,21,2
True,0.10378432273864746,17,3
True,0.9233930110931396,191,3
True,1.3450489044189453,322,6
True,0.2515099048614502,49,3
True,0.47289490699768066,101,4
True,0.4352099895477295,90,3
True,0.7873501777648926,172,5
True,0.27245402336120605,53,4
True,0.4789161682128906,99,4
True,0.12865400314331055,25,3
True,0.23577022552490234,45,4
True,0.4022097587585449,76,3
True,0.22655606269836426,46,3
True,1.3708748817443848,345,8
True,0.31498169898986816,62,3
True,0.15507292747497559,31,3
True,1.2601971626281738,287,8
True,0.4638535976409912,98,4
True,0.37256383895874023,74,3
True,0.8133468627929688,187,5
True,0.8695559501647949,201,7
True,0.10865116119384766,20,3
True,0.7934958934783936,168,4
True,0.42524003982543945,90,5
True,0.11151504516601562,18,3
True,0.6486902236938477,142,6
True,1.1643030643463135,268,4
True,0.41481709480285645,93,4
True,0.861285924911499,192,6
True,1.319187879562378,324,5
True,0.3617420196533203,78,3
True,2.1790778636932373,538,4
True,0.15253305435180664,28,3
True,0.1779017448425293,32,3
True,0.4044380187988281,89,4
True,0.2037670612335205,42,2
True,1.4551970958709717,330,5
True,0.2521181106567383,52,3
True,0.4407930374145508,96,3
True,0.3133060932159424,68,4
True,0.34128308296203613,82,5
True,0.2970852851867676,68,4
True,0.18241262435913086,35,3
True,1.1461071968078613,270,4
True,0.7899682521820068,153,3
True,0.06032299995422363,11,2
True,1.8544273376464844,453,5
True,0.5100288391113281,106,3
True,0.13197112083435059,23,3
True,0.15912890434265137,28,4
True,0.11979103088378906,26,3
True,0.4293849468231201,107,5
True,0.27262210845947266,54,3
True,0.3612558841705322,77,3
True,0.8466627597808838,195,6
True,0.11682891845703125,20,2
True,0.14752602577209473,29,3
True,0.07955360412597656,12,3
True,0.5595498085021973,126,6
True,0.28008008003234863,59,3
True,0.1584148406982422,27,3
True,0.5047640800476074,99,4
True,0.4254310131072998,89,4
True,0.40543293952941895,83,3
True,0.6190080642700195,127,4
True,0.1841132640838623,36,4
True,1.113189935684204,234,6
True,0.24540376663208008,42,3
True,0.2762119770050049,53,4
