SAT-Plan,zigzag1
path?,time,iters,segments
True,0.007311105728149414,5,5
True,0.007793903350830078,5,5
True,0.006489992141723633,5,5
True,0.00664210319519043,5,5
True,0.006591796875,5,5
True,0.007451295852661133,5,5
True,0.0065517425537109375,5,5
True,0.006577014923095703,5,5
True,0.009134054183959961,5,5
True,0.006701946258544922,5,5
True,0.006601095199584961,5,5
True,0.006554126739501953,5,5
True,0.007161855697631836,5,5
True,0.007534027099609375,5,5
True,0.0065097808837890625,5,5
True,0.007363080978393555,5,5
True,0.006937742233276367,5,5
True,0.006398916244506836,5,5
True,0.006644010543823242,5,5
True,0.006764888763427734,5,5
True,0.006412029266357422,5,5
True,0.00643610954284668,5,5
True,0.0063970088958740234,5,5
True,0.006915092468261719,5,5
True,0.007861852645874023,5,5
True,0.007783174514770508,5,5
True,0.009202241897583008,5,5
True,0.006752967834472656,5,5
True,0.006426095962524414,5,5
True,0.007154941558837891,5,5
True,0.006504058837890625,5,5
True,0.006372928619384766,5,5
True,0.0064182281494140625,5,5
True,0.006963253021240234,5,5
True,0.006435871124267578,5,5
True,0.0065059661865234375,5,5
True,0.006964921951293945,5,5
True,0.007027864456176758,5,5
True,0.0069561004638671875,5,5
True,0.007022857666015625,5,5
True,0.007591962814331055,5,5
True,0.006476163864135742,5,5
True,0.006785154342651367,5,5
True,0.0072100162506103516,5,5
True,0.006742000579833984,5,5
True,0.0065991878509521484,5,5
True,0.0070726871490478516,5,5
True,0.0066471099853515625,5,5
True,0.006582021713256836,5,5
True,0.006994009017944336,5,5
True,0.006672859191894531,5,5
True,0.006628990173339844,5,5
True,0.006809711456298828,5,5
True,0.007382869720458984,5,5
True,0.0068438053131103516,5,5
True,0.006575107574462891,5,5
True,0.0070912837982177734,5,5
True,0.006886005401611328,5,5
True,0.00733494758605957,5,5
True,0.007386922836303711,5,5
True,0.006576061248779297,5,5
True,0.0066568851470947266,5,5
True,0.00660395622253418,5,5
True,0.007073163986206055,5,5
True,0.0067789554595947266,5,5
True,0.0069370269775390625,5,5
True,0.007065773010253906,5,5
True,0.006676197052001953,5,5
True,0.006654977798461914,5,5
True,0.0075991153717041016,5,5
True,0.006781101226806641,5,5
True,0.006782054901123047,5,5
True,0.00740504264831543,5,5
True,0.009100914001464844,5,5
True,0.006786823272705078,5,5
True,0.00701594352722168,5,5
True,0.007002115249633789,5,5
True,0.008131980895996094,5,5
True,0.0072329044342041016,5,5
True,0.007276058197021484,5,5
True,0.006981849670410156,5,5
True,0.007459163665771484,5,5
True,0.006844282150268555,5,5
True,0.008202075958251953,5,5
True,0.006793022155761719,5,5
True,0.006682872772216797,5,5
True,0.0073549747467041016,5,5
True,0.006928205490112305,5,5
True,0.0067501068115234375,5,5
True,0.007124900817871094,5,5
True,0.007040977478027344,5,5
True,0.006785869598388672,5,5
True,0.006797075271606445,5,5
True,0.007226228713989258,5,5
True,0.006827116012573242,5,5
True,0.0067348480224609375,5,5
True,0.0073909759521484375,5,5
True,0.007470130920410156,5,5
True,0.006850004196166992,5,5
True,0.007557868957519531,5,5
