RRT,easy
path?,time,iters,segments
True,0.08861184120178223,19,4
True,0.026825904846191406,6,4
True,0.009897947311401367,2,2
True,0.03614091873168945,8,2
True,0.11760377883911133,31,4
True,0.10096311569213867,20,8
True,0.06321382522583008,16,6
True,0.11329317092895508,30,4
True,0.04624795913696289,11,2
True,0.13033390045166016,34,7
True,0.03690290451049805,8,2
True,0.006329059600830078,1,2
True,0.014212846755981445,3,2
True,0.0386660099029541,11,2
True,0.06083106994628906,15,2
True,0.0063610076904296875,1,2
True,0.016160011291503906,3,2
True,0.019969701766967773,4,2
True,0.011362075805664062,2,2
True,0.006479024887084961,1,2
True,0.1347360610961914,42,5
True,0.010317087173461914,2,2
True,0.0446319580078125,10,2
True,0.06982612609863281,16,2
True,0.026439905166625977,6,2
True,0.08354496955871582,18,8
True,0.08677482604980469,22,5
True,0.011452198028564453,2,2
True,0.1325697898864746,33,6
True,0.012581110000610352,3,2
True,0.08981013298034668,26,4
True,0.2880849838256836,89,4
True,0.05564689636230469,15,4
True,0.03321528434753418,7,2
True,0.04790019989013672,11,4
True,0.05809593200683594,12,5
True,0.028059720993041992,6,4
True,0.6770951747894287,195,5
True,0.03040909767150879,7,2
True,0.021498918533325195,5,2
True,0.21179890632629395,63,9
True,0.009994029998779297,2,2
True,0.15216279029846191,41,2
True,0.11763978004455566,28,2
True,0.09648299217224121,22,4
True,0.057370901107788086,13,2
True,0.045101165771484375,10,2
True,0.026579856872558594,7,2
True,0.024959087371826172,5,2
True,0.22645211219787598,61,5
True,0.1586136817932129,39,6
True,0.0066280364990234375,1,2
True,0.305462121963501,94,5
True,0.044653892517089844,11,4
True,0.00974893569946289,2,2
True,0.11663508415222168,33,5
True,0.015316963195800781,3,2
True,0.048866987228393555,11,2
True,0.04246807098388672,12,2
True,0.02752375602722168,7,2
True,0.0904228687286377,20,2
True,0.08139586448669434,20,4
True,0.28165507316589355,71,7
True,0.15068316459655762,36,2
True,0.07077789306640625,15,5
True,0.0685739517211914,14,8
True,0.01452016830444336,3,2
True,0.2962839603424072,81,9
True,0.08461594581604004,19,2
True,0.0837090015411377,19,6
True,0.011688947677612305,2,2
True,0.03504610061645508,9,2
True,0.23790574073791504,65,7
True,0.13013291358947754,38,4
True,0.019859790802001953,4,2
True,0.025795698165893555,6,4
True,0.0069200992584228516,1,2
True,0.01783895492553711,4,2
True,0.11261224746704102,28,6
True,0.17219281196594238,51,5
True,0.06679797172546387,14,2
True,0.06655097007751465,16,2
True,0.1892716884613037,64,5
True,0.02924203872680664,6,2
True,0.14812803268432617,40,9
True,0.006704092025756836,1,2
True,0.04607391357421875,10,4
True,0.026695966720581055,6,2
True,0.028721094131469727,7,2
True,0.05153608322143555,14,2
True,0.03252410888671875,8,2
True,0.06308293342590332,15,2
True,0.09091567993164062,22,4
True,0.09493708610534668,24,2
True,0.1319119930267334,33,5
True,0.006426811218261719,1,2
True,0.03663206100463867,8,2
True,0.09826183319091797,24,2
True,0.20108389854431152,54,6
True,0.0066051483154296875,1,2
