SAT-Plan,barrier
path?,time,iters,segments
True,0.005067110061645508,4,4
True,0.004685163497924805,4,4
True,0.0054018497467041016,4,4
True,0.00550079345703125,4,4
True,0.004682064056396484,4,4
True,0.0046710968017578125,4,4
True,0.005673885345458984,4,4
True,0.006307125091552734,4,4
True,0.005472898483276367,4,4
True,0.006064176559448242,4,4
True,0.006797075271606445,4,4
True,0.005817890167236328,4,4
True,0.005213022232055664,4,4
True,0.004972934722900391,4,4
True,0.0052759647369384766,4,4
True,0.005373239517211914,4,4
True,0.004824161529541016,4,4
True,0.005072116851806641,4,4
True,0.0047872066497802734,4,4
True,0.005291938781738281,4,4
True,0.004904031753540039,4,4
True,0.00493311882019043,4,4
True,0.0054438114166259766,4,4
True,0.0053141117095947266,4,4
True,0.004775047302246094,4,4
True,0.004964113235473633,4,4
True,0.004765987396240234,4,4
True,0.005317211151123047,4,4
True,0.004728078842163086,4,4
True,0.0047588348388671875,4,4
True,0.0053348541259765625,4,4
True,0.006263017654418945,4,4
True,0.005090951919555664,4,4
True,0.004857063293457031,4,4
True,0.004865169525146484,4,4
True,0.005403280258178711,4,4
True,0.0050160884857177734,4,4
True,0.005136966705322266,4,4
True,0.004873037338256836,4,4
True,0.0054111480712890625,4,4
True,0.004945278167724609,4,4
True,0.00534820556640625,4,4
True,0.005872011184692383,4,4
True,0.005572080612182617,4,4
True,0.004931926727294922,4,4
True,0.005196094512939453,4,4
True,0.0052890777587890625,4,4
True,0.0054819583892822266,4,4
True,0.004829883575439453,4,4
True,0.004806995391845703,4,4
True,0.004829883575439453,4,4
True,0.005857944488525391,4,4
True,0.0052967071533203125,4,4
True,0.004975080490112305,4,4
True,0.005346059799194336,4,4
True,0.0054242610931396484,4,4
True,0.0052759647369384766,4,4
True,0.005040884017944336,4,4
True,0.004936933517456055,4,4
True,0.005630016326904297,4,4
True,0.0048980712890625,4,4
True,0.004950046539306641,4,4
True,0.004968404769897461,4,4
True,0.005522966384887695,4,4
True,0.004862070083618164,4,4
True,0.004929780960083008,4,4
True,0.005205869674682617,4,4
True,0.005443096160888672,4,4
True,0.004904031753540039,4,4
True,0.004900932312011719,4,4
True,0.005781888961791992,4,4
True,0.0049457550048828125,4,4
True,0.005133867263793945,4,4
True,0.005361795425415039,4,4
True,0.005917072296142578,4,4
True,0.005349874496459961,4,4
True,0.004940032958984375,4,4
True,0.004935026168823242,4,4
True,0.0055391788482666016,4,4
True,0.004921913146972656,4,4
True,0.004935741424560547,4,4
True,0.004992008209228516,4,4
True,0.005618095397949219,4,4
True,0.004953145980834961,4,4
True,0.0049512386322021484,4,4
True,0.004981040954589844,4,4
True,0.005650997161865234,4,4
True,0.005384206771850586,4,4
True,0.005487203598022461,4,4
True,0.005431175231933594,4,4
True,0.005890846252441406,4,4
True,0.005352020263671875,4,4
True,0.005062103271484375,4,4
True,0.005148887634277344,4,4
True,0.006452083587646484,4,4
True,0.006233930587768555,4,4
True,0.005753040313720703,4,4
True,0.005562782287597656,4,4
True,0.0057489871978759766,4,4
True,0.005277872085571289,4,4
